Noise,N,0,1,2,3,4
0.0,100,-1.0,-0.0,-0.0,-0.0,-0.0
0.0,100,-0.0,-1.0,-0.0,-0.0,-0.0
0.0,100,0.0,0.0,1.0,0.0,0.0
0.0,100,0.0,0.0,0.0,1.0,0.0
0.0,100,-0.0,-0.0,-0.0,-0.0,-1.0
0.025,100,1.0,0.0,0.0,0.0,0.0
0.025,100,-0.0,-1.0,-0.0,-0.0,-0.0
0.025,100,-0.0,-0.0,-1.0,-0.0,-0.0
0.025,100,-0.0,-0.0,-0.0,-1.0,-0.0
0.025,100,-0.0,-0.0,-0.0,-0.0,-1.0
0.0,200,-1.0,-0.0,-0.0,-0.0,-0.0
0.0,200,-0.0,-1.0,-0.0,-0.0,-0.0
0.0,200,0.0,0.0,1.0,0.0,0.0
0.0,200,0.0,0.0,0.0,1.0,0.0
0.0,200,-0.0,-0.0,-0.0,-0.0,-1.0
0.025,200,1.0,0.0,0.0,0.0,0.0
0.025,200,-0.0,-1.0,-0.0,-0.0,-0.0
0.025,200,-0.0,-0.0,-1.0,-0.0,-0.0
0.025,200,0.0,0.0,0.0,1.0,0.0
0.025,200,-0.0,-0.0,-0.0,-0.0,-1.0
0.0,400,1.0,0.0,0.0,0.0,0.0
0.0,400,0.0,1.0,0.0,0.0,0.0
0.0,400,-0.0,-0.0,-1.0,-0.0,-0.0
0.0,400,0.0,0.0,0.0,1.0,0.0
0.0,400,-0.0,-0.0,-0.0,-0.0,-1.0
0.025,400,1.0,0.0,0.0,0.0,0.0
0.025,400,-0.0,-1.0,-0.0,-0.0,-0.0
0.025,400,-0.0,-0.0,-1.0,-0.0,-0.0
0.025,400,0.0,0.0,0.0,1.0,0.0
0.025,400,-0.0,-0.0,-0.0,-0.0,-1.0
0.0,800,1.0,0.0,0.0,0.0,0.0
0.0,800,-0.0,-1.0,-0.0,-0.0,-0.0
0.0,800,0.0,0.0,1.0,0.0,0.0
0.0,800,0.0,0.0,0.0,1.0,0.0
0.0,800,0.0,0.0,0.0,0.0,1.0
0.025,800,1.0,0.0,0.0,0.0,0.0
0.025,800,-0.0,-1.0,-0.0,-0.0,-0.0
0.025,800,-0.0,-0.0,-1.0,-0.0,-0.0
0.025,800,-0.0,-0.0,-0.0,-1.0,-0.0
0.025,800,-0.0,-0.0,-0.0,-0.0,-1.0
0.0,1600,-1.0,-0.0,-0.0,-0.0,-0.0
0.0,1600,0.0,1.0,0.0,0.0,0.0
0.0,1600,-0.0,-0.0,-1.0,-0.0,-0.0
0.0,1600,0.0,0.0,0.0,1.0,0.0
0.0,1600,0.0,0.0,0.0,0.0,1.0
0.025,1600,-1.0,-0.0,-0.0,-0.0,-0.0
0.025,1600,0.0,1.0,0.0,0.0,0.0
0.025,1600,0.0,0.0,1.0,0.0,0.0
0.025,1600,-0.0,-0.0,-0.0,-1.0,-0.0
0.025,1600,-0.0,-0.0,-0.0,-0.0,-1.0
